# vendors.csv,system exclusive database,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
]Vendor,VendorTable,None,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# MIDI Instruments (Voices),,,,,,,,,,
#  Grâce à Eric Hurtebis http://eric.hurtebis.chez-alice.fr/patches/inst.htm,,,,,,,,,,
# type (GM=0, GS=1, Roland SC-88=1A, MT-32=1B, XG=2),,,,,,
# patch number(+1), Bank Select MSB, LSB, instrument name,,,,,,,
]ROMPLER_SOUNDS,set,:name,bank_msb,bank_lsb,pc,,,,,
# PIANO,,,,,,,,,,
,GM,GM.Acoustic Grand Piano/Piano 1,0,0,1,,,,,
,GM,GM.Bright Acoustic Piano/Piano 2,0,0,2,,,,,
,GM,GM.Electric Grand Piano/Piano 3,0,0,3,,,,,
,GM,GM.Honky-tonk Piano,0,0,4,,,,,
,GM,GM.Electric Piano 1,0,0,5,,,,,
,GM,GM.Electric Piano 2,0,0,6,,,,,
,GM,GM.Harpsichord,0,0,7,,,,,
,GM,GM.Clavinet,0,0,8,,,,,
,GM,GM.Celesta,0,0,9,,,,,
,GM,GM.Glockenspiel,0,0,10,,,,,
,GM,GM.Music Box,0,0,11,,,,,
,GM,GM.Vibraphone,0,0,12,,,,,
,GM,GM.Marimba,0,0,13,,,,,
,GM,GM.Xylophone,0,0,14,,,,,
,GM,GM.Tubular bells,0,0,15,,,,,
,GM,GM.Dulcimer/Santur,0,0,16,,,,,
,GM,GM.Drawbar Organ/Organ 1/Hammond,0,0,17,,,,,
,GM,GM.Percussive Organ/Organ 2,0,0,18,,,,,
,GM,GM.Rock Organ/Organ 3,0,0,19,,,,,
,GM,GM.Church Organ,0,0,20,,,,,
,GM,GM.Reed Organ,0,0,21,,,,,
,GM,GM.Accordion /Fr,0,0,22,,,,,
,GM,GM.Harmonica,0,0,23,,,,,
,GM,GM.Tango Accordion/Bandoneon,0,0,24,,,,,
,GM,GM.Acoustic Guitar(nylon)/Nylon-str Gt.,0,0,25,,,,,
,GM,GM.Acoustic Guitar(steel)/Steel-str Gt.,0,0,26,,,,,
,GM,GM.Electric Guitar(jazz)/Jazz Gt.,0,0,27,,,,,
,GM,GM.Electric Guitar(clean)/Clean Gt.,0,0,28,,,,,
,GM,GM.Electric Guitar(muted)/Muted Gt.,0,0,29,,,,,
,GM,GM.Overdriven Guitar,0,0,30,,,,,
,GM,GM.Distortion Guitar,0,0,31,,,,,
,GM,GM.Guitar Harmonics,0,0,32,,,,,
,GM,GM.Acoustic Bass,0,0,33,,,,,
,GM,GM.Electric Bass(finder)/Fingered Bass,0,0,34,,,,,
,GM,GM.Electric Bass(pick)/Picked Bass,0,0,35,,,,,
,GM,GM.Fretless Bass,0,0,36,,,,,
,GM,GM.Slap Bass 1,0,0,37,,,,,
,GM,GM.Slap Bass 2,0,0,38,,,,,
,GM,GM.Synth Bass 1,0,0,39,,,,,
,GM,GM.Synth Bass 2,0,0,40,,,,,
,GM,GM.Violin,0,0,41,,,,,
,GM,GM.Viola,0,0,42,,,,,
,GM,GM.Cello,0,0,43,,,,,
,GM,GM.Contrabass,0,0,44,,,,,
,GM,GM.Tremolo Strings,0,0,45,,,,,
